2016-02-03 20:17:06,15.42 Mbit/s
2016-02-03 20:45:01,15.78 Mbit/s
2016-02-03 21:00:01,14.93 Mbit/s
2016-02-03 21:15:01,17.06 Mbit/s
2016-02-03 21:30:01,16.41 Mbit/s
2016-02-03 21:45:01,3.76 Mbit/s
2016-02-03 22:00:01,17.41 Mbit/s
2016-02-03 22:15:01,17.27 Mbit/s
2016-02-03 22:30:01,17.19 Mbit/s
2016-02-03 22:45:01,17.40 Mbit/s
2016-02-03 23:00:01,17.27 Mbit/s
2016-02-03 23:15:02,17.04 Mbit/s
2016-02-03 23:30:01,17.42 Mbit/s
2016-02-03 23:45:01,17.47 Mbit/s
2016-02-04 00:00:01,17.33 Mbit/s
2016-02-04 00:15:02,17.45 Mbit/s
2016-02-04 00:30:01,17.43 Mbit/s
2016-02-04 00:45:01,17.46 Mbit/s
2016-02-04 01:00:01,17.48 Mbit/s
2016-02-04 01:15:01,17.47 Mbit/s
2016-02-04 01:30:01,17.46 Mbit/s
2016-02-04 01:45:01,17.47 Mbit/s
2016-02-04 02:00:01,17.40 Mbit/s
2016-02-04 02:15:01,17.46 Mbit/s
2016-02-04 02:30:01,17.46 Mbit/s
2016-02-04 02:45:02,17.46 Mbit/s
2016-02-04 03:00:01,17.47 Mbit/s
2016-02-04 03:15:01,17.48 Mbit/s
2016-02-04 03:30:01,17.48 Mbit/s
2016-02-04 03:45:01,17.47 Mbit/s
2016-02-04 04:00:01,17.47 Mbit/s
2016-02-04 04:15:02,17.48 Mbit/s
2016-02-04 04:30:01,17.48 Mbit/s
2016-02-04 04:45:01,17.48 Mbit/s
2016-02-04 05:00:01,17.49 Mbit/s
2016-02-04 05:15:01,17.46 Mbit/s
2016-02-04 05:30:01,17.46 Mbit/s
2016-02-04 05:45:01,17.46 Mbit/s
2016-02-04 06:00:01,17.46 Mbit/s
2016-02-04 06:15:01,17.37 Mbit/s
2016-02-04 06:30:02,17.47 Mbit/s
2016-02-04 06:45:01,17.48 Mbit/s
2016-02-04 07:00:01,17.47 Mbit/s
2016-02-04 12:30:02,17.41 Mbit/s
2016-02-04 12:45:01,16.94 Mbit/s
2016-02-04 13:00:02,17.46 Mbit/s
2016-02-04 13:15:01,17.46 Mbit/s
2016-02-04 13:30:01,17.24 Mbit/s
2016-02-04 13:45:01,17.43 Mbit/s
2016-02-04 14:00:01,17.44 Mbit/s
2016-02-04 14:15:01,17.41 Mbit/s
2016-02-04 14:30:01,17.46 Mbit/s
2016-02-04 14:45:01,17.37 Mbit/s
2016-02-04 15:00:01,17.42 Mbit/s
2016-02-04 15:15:01,17.05 Mbit/s
2016-02-04 15:30:02,17.43 Mbit/s
2016-02-04 15:45:01,17.40 Mbit/s
2016-02-04 16:00:01,16.82 Mbit/s
2016-02-04 16:15:01,17.47 Mbit/s
2016-02-04 16:30:01,16.84 Mbit/s
2016-02-04 16:45:01,16.78 Mbit/s
2016-02-04 17:00:02,17.11 Mbit/s
2016-02-04 17:15:01,16.79 Mbit/s
2016-02-04 17:30:01,15.03 Mbit/s
2016-02-04 17:45:01,17.16 Mbit/s
2016-02-04 18:00:01,16.71 Mbit/s
2016-02-04 18:15:01,16.69 Mbit/s
2016-02-04 18:30:01,17.10 Mbit/s
2016-02-04 18:45:01,17.20 Mbit/s
2016-02-04 19:00:02,17.33 Mbit/s
2016-02-04 19:15:01,15.53 Mbit/s
2016-02-04 19:30:01,15.52 Mbit/s
2016-02-04 19:45:01,16.72 Mbit/s
2016-02-04 20:00:01,15.46 Mbit/s
2016-02-04 20:15:01,15.46 Mbit/s
2016-02-04 20:30:01,15.83 Mbit/s
2016-02-04 20:45:01,17.06 Mbit/s
2016-02-04 21:00:01,16.70 Mbit/s
2016-02-04 21:15:01,16.85 Mbit/s
2016-02-04 21:30:01,16.89 Mbit/s
2016-02-04 21:45:01,17.11 Mbit/s
2016-02-04 22:00:01,17.36 Mbit/s
2016-02-04 22:15:01,16.68 Mbit/s
2016-02-06 11:30:01,15.68 Mbit/s
2016-02-06 11:45:01,17.42 Mbit/s
2016-02-06 11:47:20,15.54 Mbit/s
2016-02-06 12:00:01,17.34 Mbit/s
2016-02-06 12:15:01,17.45 Mbit/s
2016-02-06 12:30:01,16.52 Mbit/s
2016-02-06 13:00:01,16.33 Mbit/s
2016-02-06 13:15:02,16.98 Mbit/s
2016-02-06 13:30:01,17.36 Mbit/s
2016-02-06 13:45:01,16.21 Mbit/s
2016-02-06 14:00:01,16.92 Mbit/s
2016-02-06 14:30:01,16.62 Mbit/s
2016-02-06 14:45:01,16.74 Mbit/s
2016-02-06 15:00:01,15.98 Mbit/s
2016-02-06 15:15:01,16.79 Mbit/s
